boroct2010,variable_num,label,estimate
2006500,11,HHI 50-60k,82
2006500,12,HHI 60-75k,74
2006500,13,HHI 75-100k,82
2006500,14,HHI 100-125k,139
2006500,15,HHI 125-150k,0
2006500,16,HHI 150-200k,19
2006500,17,HHI 200k+,0
2006700,2,HHI <10k,627
2006700,3,HHI 10-15k,199
2006700,4,HHI 15-20k,345
2006700,5,HHI 20-25k,76
2006700,6,HHI 25-30k,182
2006700,7,HHI 30-35k,80
2006700,8,HHI 35-40k,45
2006700,9,HHI 40-45k,31
2006700,10,HHI 45-50k,88
2006700,11,HHI 50-60k,117
2006700,12,HHI 60-75k,36
2006700,13,HHI 75-100k,214
2006700,14,HHI 100-125k,52
2006700,15,HHI 125-150k,130
2006700,16,HHI 150-200k,0
2006700,17,HHI 200k+,108
2006800,2,HHI <10k,134
2006800,3,HHI 10-15k,74
2006800,4,HHI 15-20k,41
2006800,5,HHI 20-25k,31
2006800,6,HHI 25-30k,43
2006800,7,HHI 30-35k,15
2006800,8,HHI 35-40k,65
2006800,9,HHI 40-45k,20
2006800,10,HHI 45-50k,21
2006800,11,HHI 50-60k,114
2006800,12,HHI 60-75k,139
2006800,13,HHI 75-100k,100
2006800,14,HHI 100-125k,46
2006800,15,HHI 125-150k,123
2006800,16,HHI 150-200k,45
2006800,17,HHI 200k+,0
2006900,2,HHI <10k,529
2006900,3,HHI 10-15k,335
2006900,4,HHI 15-20k,167
2006900,5,HHI 20-25k,0
2006900,6,HHI 25-30k,174
2006900,7,HHI 30-35k,174
2006900,8,HHI 35-40k,101
2006900,9,HHI 40-45k,162
2006900,10,HHI 45-50k,228
2006900,11,HHI 50-60k,175
2006900,12,HHI 60-75k,191
2006900,13,HHI 75-100k,179
2006900,14,HHI 100-125k,205
2006900,15,HHI 125-150k,25
2006900,16,HHI 150-200k,107
2006900,17,HHI 200k+,48
2007000,2,HHI <10k,96
2007000,3,HHI 10-15k,96
2007000,4,HHI 15-20k,27
2007000,5,HHI 20-25k,104
2007000,6,HHI 25-30k,84
2007000,7,HHI 30-35k,134
2007000,8,HHI 35-40k,58
2007000,9,HHI 40-45k,31
2007000,10,HHI 45-50k,12
2007000,11,HHI 50-60k,165
2007000,12,HHI 60-75k,118
2007000,13,HHI 75-100k,107
2007000,14,HHI 100-125k,69
2007000,15,HHI 125-150k,105
2007000,16,HHI 150-200k,14
2007000,17,HHI 200k+,86
2007100,2,HHI <10k,123
2007100,3,HHI 10-15k,79
2007100,4,HHI 15-20k,36
2007100,5,HHI 20-25k,16
2007100,6,HHI 25-30k,83
2007100,7,HHI 30-35k,67
2007100,8,HHI 35-40k,71
2007100,9,HHI 40-45k,59
2007100,10,HHI 45-50k,25
2007100,11,HHI 50-60k,32
2007100,12,HHI 60-75k,125
2007100,13,HHI 75-100k,108
2007100,14,HHI 100-125k,64
2007100,15,HHI 125-150k,8
2007100,16,HHI 150-200k,69
2007100,17,HHI 200k+,40
2007200,2,HHI <10k,143
2007200,3,HHI 10-15k,113
2007200,4,HHI 15-20k,177
2007200,5,HHI 20-25k,109
2007200,6,HHI 25-30k,151
2007200,7,HHI 30-35k,42
2007200,8,HHI 35-40k,56
2007200,9,HHI 40-45k,69
2007200,10,HHI 45-50k,130
2007200,11,HHI 50-60k,114
2007200,12,HHI 60-75k,90
2007200,13,HHI 75-100k,170
2007200,14,HHI 100-125k,86
2007200,15,HHI 125-150k,19
2007200,16,HHI 150-200k,82
2007200,17,HHI 200k+,81
2007300,2,HHI <10k,234
2007300,3,HHI 10-15k,238
2007300,4,HHI 15-20k,136
2007300,5,HHI 20-25k,112
2007300,6,HHI 25-30k,141
2007300,7,HHI 30-35k,63
2007300,8,HHI 35-40k,32
2007300,9,HHI 40-45k,20
2007300,10,HHI 45-50k,74
2007300,11,HHI 50-60k,11
2007300,12,HHI 60-75k,163
2007300,13,HHI 75-100k,76
2007300,14,HHI 100-125k,47
2007300,15,HHI 125-150k,0
2007300,16,HHI 150-200k,4
2007300,17,HHI 200k+,0
2007400,2,HHI <10k,134
2007400,3,HHI 10-15k,147
2007400,4,HHI 15-20k,103
2007400,5,HHI 20-25k,136
2007400,6,HHI 25-30k,55
2007400,7,HHI 30-35k,30
2007400,8,HHI 35-40k,79
2007400,9,HHI 40-45k,28
2007400,10,HHI 45-50k,15
2007400,11,HHI 50-60k,67
2007400,12,HHI 60-75k,137
2007400,13,HHI 75-100k,114
2007400,14,HHI 100-125k,118
2007400,15,HHI 125-150k,54
2007400,16,HHI 150-200k,94
2007400,17,HHI 200k+,37
2007500,2,HHI <10k,392
2007500,3,HHI 10-15k,304
2007500,4,HHI 15-20k,238
2007500,5,HHI 20-25k,122
2007500,6,HHI 25-30k,98
2007500,7,HHI 30-35k,106
2007500,8,HHI 35-40k,140
2007500,9,HHI 40-45k,128
2007500,10,HHI 45-50k,60
2007500,11,HHI 50-60k,207
2007500,12,HHI 60-75k,150
2007500,13,HHI 75-100k,200
2007500,14,HHI 100-125k,115
2007500,15,HHI 125-150k,42
2007500,16,HHI 150-200k,25
2007500,17,HHI 200k+,29
2007600,2,HHI <10k,186
2007600,3,HHI 10-15k,106
2007600,4,HHI 15-20k,88
2007600,5,HHI 20-25k,124
2007600,6,HHI 25-30k,88
2007600,7,HHI 30-35k,90
2007600,8,HHI 35-40k,73
2007600,9,HHI 40-45k,50
2007600,10,HHI 45-50k,87
2007600,11,HHI 50-60k,142
2007600,12,HHI 60-75k,260
2007600,13,HHI 75-100k,133
2007600,14,HHI 100-125k,101
2007600,15,HHI 125-150k,64
2007600,16,HHI 150-200k,6
2007600,17,HHI 200k+,44
2007700,2,HHI <10k,70
2007700,3,HHI 10-15k,69
2007700,4,HHI 15-20k,35
2007700,5,HHI 20-25k,58
2007700,6,HHI 25-30k,28
2007700,7,HHI 30-35k,11
2007700,8,HHI 35-40k,44
2007700,9,HHI 40-45k,20
2007700,10,HHI 45-50k,41
2007700,11,HHI 50-60k,59
2007700,12,HHI 60-75k,54
2007700,13,HHI 75-100k,40
2007700,14,HHI 100-125k,27
2007700,15,HHI 125-150k,7
2007700,16,HHI 150-200k,17
2007700,17,HHI 200k+,12
2007800,2,HHI <10k,136
2007800,3,HHI 10-15k,205
2007800,4,HHI 15-20k,64
2007800,5,HHI 20-25k,106
2007800,6,HHI 25-30k,110
2007800,7,HHI 30-35k,196
2007800,8,HHI 35-40k,46
2007800,9,HHI 40-45k,113
2007800,10,HHI 45-50k,32
2007800,11,HHI 50-60k,230
2007800,12,HHI 60-75k,66
2007800,13,HHI 75-100k,253
2007800,14,HHI 100-125k,295
2007800,15,HHI 125-150k,104
2007800,16,HHI 150-200k,173
2007800,17,HHI 200k+,72
2007900,2,HHI <10k,570
2007900,3,HHI 10-15k,399
2007900,4,HHI 15-20k,90
2007900,5,HHI 20-25k,127
2007900,6,HHI 25-30k,112
2007900,7,HHI 30-35k,298
2007900,8,HHI 35-40k,46
2007900,9,HHI 40-45k,169
2007900,10,HHI 45-50k,39
2007900,11,HHI 50-60k,125
2007900,12,HHI 60-75k,101
